Name,Role,Area,Email,Handle,Notes
Contact 1,Role 1,HR,contact1@freefuse.com,#ch1,Note 1
Contact 2,Role 2,HR,contact2@freefuse.com,#ch2,Note 2
Contact 3,Role 3,HR,contact3@freefuse.com,#ch3,Note 3
Contact 4,Role 4,HR,contact4@freefuse.com,#ch4,Note 4
Contact 5,Role 5,HR,contact5@freefuse.com,#ch5,Note 5
Contact 6,Role 6,HR,contact6@freefuse.com,#ch6,Note 6
Contact 7,Role 7,HR,contact7@freefuse.com,#ch7,Note 7
Contact 8,Role 8,HR,contact8@freefuse.com,#ch8,Note 8
Contact 9,Role 9,HR,contact9@freefuse.com,#ch9,Note 9
Contact 10,Role 10,HR,contact10@freefuse.com,#ch10,Note 10
